# Gene set generated on 2022-09-20T13:31:02 using cellxgene version 1.1.0,,,
# Input data file was BloodGlyco.h5ad, which was last modified on 2022-09-16T10:10:25,,
gene_set_name,gene_set_description,gene_symbol,gene_description
glycolipid_core_synth,,PIGM,
glycolipid_core_synth,,PIGL,
glycolipid_core_synth,,PIGZ,
glycolipid_core_synth,,PIGP,
glycolipid_core_synth,,MPPE1,
glycolipid_core_synth,,B3GALT5,
glycolipid_core_synth,,PIGT,
glycolipid_core_synth,,PIGK,
glycolipid_core_synth,,PIGS,
glycolipid_core_synth,,PIGH,
glycolipid_core_synth,,PIGF,
glycolipid_core_synth,,PGAP4,
glycolipid_core_synth,,UGCG,
glycolipid_core_synth,,PIGO,
glycolipid_core_synth,,PIGY,
glycolipid_core_synth,,PIGG,
glycolipid_core_synth,,PIGX,
glycolipid_core_synth,,PIGQ,
glycolipid_core_synth,,PIGA,
glycolipid_core_synth,,UGT8,
GAG_core_synth,,HAS3,
GAG_core_synth,,HAS1,
GAG_core_synth,,XYLT2,
GAG_core_synth,,B3GNT7,
